state,state_latitude,state_longitude,district,district_latitude,district_longitude,township,township_latitude,township_longitude,city,city_latitude,city_longitude,village,village_latitude,village_longitude,ward,ward_latitude,ward_longitude
ရန်ကုန်တိုင်းဒေသကြီး,16.797,96.158,ရန်ကုန်မြောက်ပိုင်းခရိုင်,17.2661,96.0095,လှည်းကူးမြို့နယ်,17.09875,96.22745,လှည်းကူးမြို့,17.09875,96.22745,​ကျောက်တန်းရွာ,17.11502075,96.2191925,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,အင်္ဂပူမြို့နယ်,17.81833,95.26876,မဲဇလီကုန်းမြို့,17.9009,95.2288,​ကျောက်တလုံးရွာ,17.7548008,95.02657318,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ငပုတောမြို့နယ်,16.3923,94.5058,ငရုတ်ကောင်းမြို့,16.52089,94.3019,​ကျောက်တလုံးရွာ,16.48035049,94.64810181,,,
ရန်ကုန်တိုင်းဒေသကြီး,16.797,96.158,ရန်ကုန်မြောက်ပိုင်းခရိုင်,17.2661,96.0095,မှော်ဘီမြို့နယ်,17.09987,96.0418,မှော်ဘီမြို့,17.09987,96.0418,​ကျောက်တွင်းကုန်းရွာ,17.05599976,95.98014069,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,မြောင်းမြခရိုင်,16.59926,94.92977,အိမ်မဲမြို့နယ်,16.8962,95.1805,အိမ်မဲမြို့,16.8962,95.1805,​ကျောက်တိုင်ချောင်းရွာ,16.6703169,95.06989268,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,ဟင်္သာတမြို့နယ်,17.6458,95.461,တလုတ္ထော်မြို့,17.6419,95.3046,​ကျောက်တိုင်ရွာ,17.52278765,95.42979635,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,မအူပင်ခရိုင်,16.73023,95.6494,ညောင်တုန်းမြို့နယ်,17.04903,95.63359,ညောင်တုန်းမြို့,17.04903,95.63359,​ကျောက်တိုင်ရွာ,17.08017921,95.8115387,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဖျာပုံခရိုင်,16.28097,95.66946,ဖျာပုံမြို့နယ်,16.28097,95.66946,အမာမြို့,15.7994,95.29017,​ကျောက်တိုင်ရွာ,15.82851982,95.33184814,,,
မကွေးတိုင်းဒေသကြီး,20.815,94.85,မကွေးခရိုင်,20.2859,95.2594,ချောက်မြို့နယ်,20.90913,94.7939,စလေမြို့,20.8338,94.7424,​ကျောက်တိုင်ရွာ,20.60754013,94.94049072,,,
ရှမ်းပြည်နယ်,20.795,97.509,လွိုင်လင်ခရိုင်,21.3156,97.5105,နမ့်စန်မြို့နယ်,20.88912,97.72022,နမ့်စန်မြို့,20.88912,97.72022,​ကျောက်တိုင်ရွာ,20.92601204,97.79627228,,,
ရန်ကုန်တိုင်းဒေသကြီး,16.797,96.158,ရန်ကုန်မြောက်ပိုင်းခရိုင်,17.2661,96.0095,ထန်းတပင်မြို့နယ်,17.0174,95.9827,ထန်းတပင်မြို့,17.0174,95.9827,​ကျောက်တိုင်ရွာ,16.90452957,95.84039307,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ဟင်္သာတခရိုင်,17.6458,95.461,အင်္ဂပူမြို့နယ်,17.81833,95.26876,မဲဇလီကုန်းမြို့,17.9009,95.2288,​ကျောက်ထပ်ရွာ,17.76390076,95.04149628,,,
